run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,MAS,30,,,6,0.147623,,,0.197979,,,10,64,0.0001,,2026-09-08T18:30:41.317201+00:00,MAS
,LwF,30,,,6,0.162536,,,0.283673,,,10,64,0.0001,,2026-09-08T18:32:15.394378+00:00,LwF
,DERpp,30,,,6,0.156407,,,0.23409,,,10,64,0.0001,,2026-09-08T18:34:33.723986+00:00,DERpp
,AGEM,30,,,6,0.128809,,,0.222015,,,10,64,0.0001,,2026-09-08T18:36:11.264554+00:00,AGEM
,B3,30,0.0,0.0,7,0.114022,,,0.234869,,,10,64,0.0001,,2026-09-08T18:37:10.205200+00:00,B3_warm
,B5,30,0.0,1.0,7,0.136178,,,0.210162,,,10,64,0.0001,,2026-09-08T18:38:45.044748+00:00,B5_replay
,V1,30,1.0,0.0,7,0.116294,,,0.197094,,,10,64,0.0001,,2026-09-08T18:39:57.119362+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,7,0.127316,,,0.190516,,,10,64,0.0001,,2026-09-08T18:40:59.924917+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,7,0.137084,,,0.196622,,,10,64,0.0001,,2026-09-08T18:41:53.387465+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,7,0.114005,,,0.19601,,,10,64,0.0001,,2026-09-08T18:42:39.798907+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,7,0.124236,,,0.197296,,,10,64,0.0001,,2026-09-08T18:43:25.252650+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,7,0.130575,,,0.197199,,,10,64,0.0001,,2026-09-08T18:44:09.235222+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,7,0.143881,,,0.203356,,,10,64,0.0001,,2026-09-08T18:45:23.363915+00:00,V3_hybrid
,MAS,30,,,7,0.13937,,,0.193289,,,10,64,0.0001,,2026-09-08T18:46:03.017643+00:00,MAS
,LwF,30,,,7,0.175929,,,0.280223,,,10,64,0.0001,,2026-09-08T18:47:27.604289+00:00,LwF
,DERpp,30,,,7,0.175932,,,0.259772,,,10,64,0.0001,,2026-09-08T18:49:15.180059+00:00,DERpp
,AGEM,30,,,7,0.139248,,,0.235459,,,10,64,0.0001,,2026-09-08T18:50:27.372279+00:00,AGEM
,B3,30,0.0,0.0,8,0.115607,,,0.232165,,,10,64,0.0001,,2026-09-08T18:51:05.269344+00:00,B3_warm
,B5,30,0.0,1.0,8,0.12915,,,0.198418,,,10,64,0.0001,,2026-09-08T18:52:09.537898+00:00,B5_replay
,V1,30,1.0,0.0,8,0.119409,,,0.195409,,,10,64,0.0001,,2026-09-08T18:52:59.300711+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,8,0.132691,,,0.193657,,,10,64,0.0001,,2026-09-08T18:53:44.413761+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,8,0.140945,,,0.195779,,,10,64,0.0001,,2026-09-08T18:54:29.831132+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,8,0.12026,,,0.194624,,,10,64,0.0001,,2026-09-08T18:55:12.099297+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,8,0.125248,,,0.196151,,,10,64,0.0001,,2026-09-08T18:55:55.852019+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,8,0.130289,,,0.196763,,,10,64,0.0001,,2026-09-08T18:56:37.137623+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,8,0.1417,,,0.198895,,,10,64,0.0001,,2026-09-08T18:57:46.176806+00:00,V3_hybrid
,MAS,30,,,8,0.147261,,,0.197427,,,10,64,0.0001,,2026-09-08T18:58:28.564094+00:00,MAS
,LwF,30,,,8,0.166342,,,0.274176,,,10,64,0.0001,,2026-09-08T18:59:45.893612+00:00,LwF
,DERpp,30,,,8,0.155654,,,0.236188,,,10,64,0.0001,,2026-09-08T19:01:28.821721+00:00,DERpp
,AGEM,30,,,8,0.123316,,,0.22288,,,10,64,0.0001,,2026-09-08T19:02:30.833767+00:00,AGEM
,B3,30,0.0,0.0,9,0.116862,,,0.239258,,,10,64,0.0001,,2026-09-08T19:03:06.885153+00:00,B3_warm
,B5,30,0.0,1.0,9,0.134974,,,0.206284,,,10,64,0.0001,,2026-09-08T19:04:13.863122+00:00,B5_replay
,V1,30,1.0,0.0,9,0.123557,,,0.206148,,,10,64,0.0001,,2026-09-08T19:05:00.990603+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,9,0.130841,,,0.194771,,,10,64,0.0001,,2026-09-08T19:05:46.863114+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,9,0.135214,,,0.196863,,,10,64,0.0001,,2026-09-08T19:06:35.902748+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,9,0.124877,,,0.212799,,,10,64,0.0001,,2026-09-08T19:07:18.083662+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,9,0.130779,,,0.209104,,,10,64,0.0001,,2026-09-08T19:07:57.160491+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,9,0.131849,,,0.199788,,,10,64,0.0001,,2026-09-08T19:08:38.638676+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,9,0.143157,,,0.197249,,,10,64,0.0001,,2026-09-08T19:09:50.882874+00:00,V3_hybrid
,MAS,30,,,9,0.147257,,,0.197505,,,10,64,0.0001,,2026-09-08T19:10:30.079667+00:00,MAS
,LwF,30,,,9,0.158782,,,0.274171,,,10,64,0.0001,,2026-09-08T19:12:00.260834+00:00,LwF
,DERpp,30,,,9,0.161022,,,0.248864,,,10,64,0.0001,,2026-09-08T19:13:36.628970+00:00,DERpp
,AGEM,30,,,9,0.130005,,,0.223289,,,10,64,0.0001,,2026-09-08T19:14:41.562539+00:00,AGEM
